case_id,n_voters,c1,c3,c5,max_block,n_block_holders,ss_max,ss_controlled,ss_top1,n_voters_in_ss,taxonomy,controller_type
case-2024-public-goods-working-grou,348,0.13424445917873074,0.3200092474448248,0.47671034689213865,0.13424445917873074,10,0.1447,False,0.1447,50,widely_held_block,delegate_block
case-2025-public-goods-working-grou,169,0.07454962178244463,0.1965339335896316,0.3067355787804123,0.07454962178244463,7,0.0773,False,0.0773,50,widely_held_block,delegate_block
case-[3.1.2]-q1/q2-2023-funding-req,1445,0.08386546778385659,0.22264191180161202,0.3506132659631266,0.08386546778385659,6,0.0833,False,0.0833,50,widely_held_block,delegate_block
case-[4.4.1]-funding-request:-ens-e,793,0.11345665241136586,0.30979249849537904,0.4854432976315197,0.11345665241136586,10,0.1242,False,0.1242,50,widely_held_block,delegate_block
case-[4.4.2]-funding-request:-ens-m,801,0.11348029574637232,0.30985705643595585,0.4855444596019164,0.11348029574637232,10,0.1133,False,0.1133,50,widely_held_block,delegate_block
case-[4.4.3]-funding-request:-publi,842,0.1134473287385268,0.30976704027990576,0.4854034047350448,0.1134473287385268,10,0.1211,False,0.1211,50,widely_held_block,delegate_block
case-[5.17.1]-funding-request:-ens-,94,0.12686619658121426,0.3019589664299133,0.46557173414061226,0.12686619658121426,10,0.1355,False,0.1355,50,widely_held_block,delegate_block
case-[5.17.2]-funding-request:-ens-,94,0.12989457843732335,0.3091669310404108,0.4766852460955963,0.12989457843732335,10,0.1386,False,0.1386,50,widely_held_block,delegate_block
case-[5.17.3]-funding-request:-ens-,93,0.1387608875388049,0.3302699640348431,0.5092226990581823,0.1387608875388049,9,0.1485,False,0.1485,50,widely_held_block,delegate_block
case-[5.4.1]-funding-request:-ens-m,256,0.13268218154143396,0.3610022160531067,0.5366479559794154,0.13268218154143396,10,0.1442,False,0.1442,50,widely_held_block,delegate_block
case-[5.4.2]-funding-request:-ens-p,335,0.08058612439277767,0.2412274136260424,0.3641272425809686,0.08058612439277767,10,0.0855,False,0.0855,50,widely_held_block,delegate_block
case-[5.8]ens-steward-vesting-propo,291,0.1666903502052889,0.38689787386726265,0.5854343465025984,0.1666903502052889,9,0.1814,False,0.1814,50,widely_held_block,delegate_block
case-[5.9.1]-funding-request:-ens-m,246,0.08364260764391278,0.21989172984641653,0.32038291839313854,0.08364260764391278,5,0.0866,False,0.0866,50,widely_held_block,delegate_block
case-[6.24.1]-funding-request:-ens-,90,0.15993476812692922,0.37538306390732445,0.5352791740852345,0.15993476812692922,7,0.1758,False,0.1758,50,widely_held_block,delegate_block
case-[6.24.2]-funding-request:-ens-,88,0.15236796522300686,0.3576230127857138,0.5099541490371298,0.15236796522300686,6,0.1687,False,0.1687,50,widely_held_block,delegate_block
case-[6.24.3]-funding-request-ens,88,0.1676150209550493,0.39340939346635156,0.5609839000728899,0.1676150209550493,6,0.1847,False,0.1847,50,widely_held_block,delegate_block
case-[6.25]-replace-the-working-gro,109,0.12890243915540428,0.2809779296676023,0.4028455827304014,0.12890243915540428,7,0.1375,False,0.1375,50,widely_held_block,delegate_block
case-[6.26]-ens-retro:-ens,567,0.0805196685536132,0.21409018768599603,0.29978130740385256,0.0805196685536132,3,0.0844,False,0.0828,50,widely_held_block,delegate_block
case-[6.6.2]-april-funding-request,322,0.078571775406279,0.21265616441122762,0.3130797108097554,0.078571775406279,4,0.0821,False,0.0821,50,widely_held_block,delegate_block
case-amend-working-groups-rules,654,0.16139085978896903,0.377434528967891,0.5680495575742462,0.16139085978896903,9,0.1743,False,0.1743,50,widely_held_block,delegate_block
case-community-steward-election:-q3,385,0.12136948682672959,0.33825315596312683,0.518268517037132,0.12136948682672959,9,0.1286,False,0.1286,50,widely_held_block,delegate_block
case-create-streams-for-new-service,764,0.08086685453368403,0.20786564910559438,0.31611695894593855,0.08086685453368403,6,0.0853,False,0.0853,50,widely_held_block,delegate_block
case-enable-reverse-registrars-and,68,0.12464890220580029,0.319507935381857,0.45080176159259533,0.12464890220580029,8,0.1328,False,0.1328,50,widely_held_block,delegate_block
case-ens-ecosystem-steward-election,374,0.10361672497313339,0.28877673580973584,0.4424611802860765,0.10361672497313339,10,0.108,False,0.108,50,widely_held_block,delegate_block
case-ens-workshop-2021-autumn-commu,3289,0.0003040437823046519,0.0009121313469139556,0.0015202189115232595,0.0003040437823046519,0,0.0,False,0.0,50,widely_held_no_block,retail
case-how-many-copies-should,2160,0.000462962962962963,0.001388888888888889,0.0023148148148148147,0.000462962962962963,0,0.0,False,0.0,50,widely_held_no_block,retail
case-meta-governance-steward-electi,407,0.11212871079925656,0.3124993875608304,0.478808819107718,0.11212871079925656,10,0.1188,False,0.1188,50,widely_held_block,delegate_block
case-proposal:-transfer-ens-treasur,972,0.1196045718865524,0.265277375149556,0.39118339379854167,0.1196045718865524,7,0.1319,False,0.1319,50,widely_held_block,delegate_block
case-public-goods-steward-election:,414,0.10741146724985935,0.2993525698577263,0.4586653804002665,0.10741146724985935,9,0.1056,False,0.1056,50,widely_held_block,delegate_block
case-q1/q2-2022-community-steward-e,215,0.14581621741378736,0.3555741609290398,0.5263184122953111,0.14581621741378736,9,0.1617,False,0.1617,50,widely_held_block,delegate_block
case-q1/q2-2022-ens-ecosystem-stewa,229,0.13097906397888898,0.3193936284974629,0.47276423857348426,0.13097906397888898,9,0.138,False,0.138,50,widely_held_block,delegate_block
case-q1/q2-2022-meta-governance-ste,224,0.13207585466260277,0.32206816246901443,0.4767230652493568,0.13207585466260277,9,0.1406,False,0.1406,50,widely_held_block,delegate_block
case-q1/q2-2022-public-goods-stewar,260,0.13041966811750977,0.3180295366456447,0.4707451192544706,0.13041966811750977,8,0.1435,False,0.1435,50,widely_held_block,delegate_block
case-q1/q2-2023-ens-ecosystem-worki,962,0.10630580855370379,0.26647116515917857,0.4117363733820615,0.10630580855370379,10,0.1207,False,0.1207,50,widely_held_block,delegate_block
case-q1/q2-2023-meta-governance-wor,1038,0.10437926653737667,0.2616420038668353,0.40427462285532545,0.10437926653737667,10,0.1069,False,0.1069,50,widely_held_block,delegate_block
case-q1/q2-2023-public-goods-workin,1103,0.05387445414100966,0.1397124704366388,0.2191856949938909,0.05387445414100966,1,0.0532,False,0.0532,50,widely_held_block,delegate_block
case-q3/q4-2023-ens-ecosystem-worki,529,0.10090436377584043,0.28162419003371475,0.4488471037847931,0.10090436377584043,10,0.1043,False,0.1043,50,widely_held_block,delegate_block
case-q3/q4-2023-meta-governance-wor,547,0.09493599168697112,0.2649664569838177,0.42229833595994315,0.09493599168697112,11,0.1021,False,0.1021,50,widely_held_block,delegate_block
case-q3/q4-2023-public-goods-workin,532,0.10063736185982303,0.28087898739309464,0.44765941444981416,0.10063736185982303,10,0.1052,False,0.1052,50,widely_held_block,delegate_block
case-ratification-the-ens-dao,84328,7.103782593196257e-05,0.00021311347779588772,0.00035518912965981284,7.103782593196257e-05,0,0.0,False,0.0,50,widely_held_no_block,retail
case-reactivate-spp2-streams,76,0.14837526141002602,0.34085466524258273,0.49170142833435543,0.14837526141002602,7,0.1553,False,0.1553,50,widely_held_block,delegate_block
case-set-primary-names-for-core,74,0.158947067995005,0.365912066645093,0.5313118688227553,0.158947067995005,7,0.1825,False,0.1825,50,widely_held_block,delegate_block
case-special-election:-meta-governa,171,0.06950333410199681,0.19061967465283364,0.29437829419453104,0.06950333410199681,5,0.0732,False,0.072,50,widely_held_block,delegate_block
case-transfer-.locker-tld-orange,62,0.18256501972566516,0.35490479155071464,0.49307274587848576,0.18256501972566516,8,0.2128,False,0.2128,50,widely_held_block,delegate_block
case-what-option-will-bots-prefer?,236,0.00423728813559322,0.012711864406779662,0.0211864406779661,0.00423728813559322,0,0.0,False,0.0,50,widely_held_no_block,retail
